vin,start_time,stop_time,longitude,latitude,start_soc,stop_soc,vehicleuse
LGXC7**********,1.62143E+12,1.6212E+12,114.525528,30.520095,16,99,4
LVVDG**********,1.621E+12,1.62059E+12,114.396138,30.648362,26,100,4
LNBSC**********,1.62117E+12,1.62117E+12,114.362495,30.616011,47,99,4
LVHDH**********,1.6213E+12,1.62131E+12,114.289698,30.791495,37,50,4
LC0CE**********,1.6214E+12,1.62141E+12,114.189068,30.723056,78,99,4
LC0CD**********,1.62032E+12,1.62032E+12,114.149909,30.549632,85,99,4
LC0CE4**********,1.62127E+12,1.62129E+12,114.147391,30.638193,28,99,4
LMVHF**********,1.62091E+12,1.62091E+12,114.381389,30.440776,51,51,4
LVHDH**********,1.62102E+12,1.62102E+12,114.067347,30.312048,95,95,4
LC0CE4**********,1.62204E+12,1.62207E+12,114.292075,30.800302,53,99,4
LVVDG**********,1.62128E+12,1.62129E+12,114.17256,30.658912,86,100,4
LGJE1**********,1.62084E+12,1.62085E+12,114.472393,30.504682,61,99,4
L6T79**********,1.62081E+12,1.62082E+12,114.10298,30.515073,3,99,4
LJ1EE**********,1.62038E+12,1.6204E+12,114.175739,30.606908,61,100,4
LBVKY**********,1.62109E+12,1.6211E+12,114.319418,30.501795,63,93,4
LJ1EEK**********,1.62112E+12,1.62113E+12,113.963168,30.353502,80,98,4
LNAA2**********,1.62118E+12,1.62118E+12,114.371222,30.584596,58,96,4
LGXCD**********,1.62109E+12,1.62109E+12,114.259448,30.646113,99,99,4
LC0CD**********,1.6209E+12,1.62091E+12,114.370655,30.472105,32,99,4
LC0CE**********,1.62099E+12,1.621E+12,114.473488,30.503715,1,99,4
,,,,,,,
