vin,vehicleuse,start_time,stop_time,start_longitude,start_latitude,stop_longitude,stop_latitude
LSVUZ**********,4,1.61724E+12,1.61724E+12,114.381823,30.510441,114.423134,30.480287
LVVDB**********,4,1.61727E+12,1.61729E+12,114.321571,30.352466,114.366451,30.513392
LNBSC**********,4,1.61724E+12,1.61724E+12,114.289926,30.656975,114.293271,30.667701
LJ1E6**********,4,1.61727E+12,1.61727E+12,114.253898,30.588457,114.252466,30.589694
LGWEC**********,4,1.61726E+12,1.61726E+12,114.260842,30.592632,114.28465,30.604012
LE48P**********,4,1.61728E+12,1.61728E+12,114.230681,30.623513,114.249629,30.634686
LGWEC**********,4,1.61726E+12,1.61726E+12,113.907887,30.927882,113.925397,30.923662
LMVHL**********,4,1.61725E+12,1.61725E+12,114.227603,30.607829,114.280557,30.591956
LGJE1**********,4,1.61727E+12,1.61727E+12,113.823421,30.649212,114.317029,30.577415
LVVDC**********,4,1.61726E+12,1.61726E+12,114.272425,30.485733,114.259148,30.484772
LVVDG**********,4,1.61724E+12,1.61724E+12,114.197678,30.532286,114.190626,30.537738
LVVDG**********,4,1.61725E+12,1.61725E+12,114.370706,30.59063,114.358445,30.58056
LVVDB**********,4,1.61724E+12,1.61724E+12,113.850181,30.506808,113.849184,30.508152
LSJWE**********,4,1.61727E+12,1.61727E+12,114.312835,30.365051,114.351122,30.594276
LJ1EE**********,4,1.61727E+12,1.61727E+12,114.306528,30.534446,114.370288,30.46106
LVHDH**********,4,1.61728E+12,1.61728E+12,114.308192,30.520289,114.294153,30.614092
LMVHF**********,4,1.61725E+12,1.61725E+12,114.285525,30.6157,114.284222,30.61317
LSJWE**********,4,1.61727E+12,1.61727E+12,114.230354,30.634516,114.23069,30.634539
LSVUZ**********,4,1.61726E+12,1.61726E+12,114.264382,30.618752,114.252925,30.615438
LGWEC**********,4,1.61725E+12,1.61725E+12,114.389387,30.714497,114.388178,30.717249
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
