vin,start_time,stop_time,longitude,latitude,start_soc,stop_soc,vehicleuse
LDP31************,1.61989E+12,1.6199E+12,114.25227,30.538301,13,99,2
LB378************,1.62201E+12,1.62201E+12,114.237656,30.65341,49,71,2
LDP51************,1.62014E+12,1.62015E+12,114.418432,30.702892,78,99,2
LDP51************,1.6223E+12,1.62231E+12,114.12004,30.632148,48,99,2
LGJE1************,1.62082E+12,1.62082E+12,114.310353,30.534316,52,94,2
LDP31************,1.61999E+12,1.62E+12,114.405865,30.526603,61,98,2
LDP31************,1.62169E+12,1.62169E+12,114.31866,30.557279,74,98,2
LDP31************,1.62191E+12,1.62191E+12,114.221824,30.624035,3,41,2
LB378************,1.62023E+12,1.62023E+12,114.299656,30.512908,26,51,2
LGJE1************,1.62055E+12,1.62055E+12,114.43665,30.437821,48,99,2
LDP31************,1.6213E+12,1.6213E+12,114.257312,30.564198,76,87,2
LGJE1************,1.62087E+12,1.62088E+12,114.271261,30.62642,47,99,2
LDP61************,1.6212E+12,1.62121E+12,114.237552,30.653918,66,89,2
LGJE1************,1.62098E+12,1.62098E+12,114.363779,30.593785,53,95,2
LGJE1************,1.62072E+12,1.62073E+12,114.391462,30.512521,48,79,2
LB378************,1.62201E+12,1.62201E+12,114.127976,30.47949,37,97,2
LB378************,1.62144E+12,1.62131E+12,114.0186,30.537502,38,97,2
LDP31************,1.61986E+12,1.61986E+12,114.279193,30.672795,62,98,2
LGJE1************,1.62192E+12,1.62193E+12,114.431223,30.484887,40,80,2
LDP61************,1.62019E+12,1.62019E+12,114.290296,30.655424,18,29,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
