vin,vehicleuse,start_time,stop_time,start_longitude,start_latitude,stop_longitude,stop_latitude
LDP31**********,2,1.61721E+12,1.61721E+12,114.338237,30.51142,114.390074,30.505265
LDP31**********,2,1.61725E+12,1.61727E+12,114.405359,30.472289,114.412045,30.477641
LGJE1**********,2,1.61721E+12,1.61721E+12,114.338082,30.374219,114.334667,30.372448
LDP31**********,2,1.61726E+12,1.61726E+12,114.391138,30.627528,114.312953,30.647238
LB378**********,2,1.61721E+12,1.61721E+12,114.190904,30.548436,114.198288,30.571744
LGJE1**********,2,1.61727E+12,1.61729E+12,114.250661,30.648804,114.250776,30.648472
LDP31**********,2,1.61725E+12,1.61725E+12,114.338909,30.532385,114.405361,30.472314
LDP31**********,2,1.61723E+12,1.61724E+12,114.218775,30.566372,114.279328,30.672769
LDP31**********,2,1.61727E+12,1.61729E+12,114.380672,30.458594,114.26503,30.664193
LB378**********,2,1.61724E+12,1.61725E+12,114.154064,30.590164,114.155392,30.58917
LDP31**********,2,1.61727E+12,1.61727E+12,114.18614,30.464011,114.187695,30.569002
LB378**********,2,1.61725E+12,1.61726E+12,114.348928,30.616022,114.372224,30.625234
LDP31**********,2,1.61723E+12,1.61724E+12,114.318355,30.6541,114.36332,30.878689
LDP31**********,2,1.61727E+12,1.61728E+12,114.436399,30.437869,114.318744,30.652852
LNAA3**********,2,1.61723E+12,1.61723E+12,114.22715,30.527995,114.227142,30.527976
LDP31**********,2,1.61727E+12,1.61728E+12,114.244797,30.621906,114.302077,30.516533
LDP31**********,2,1.61728E+12,1.61728E+12,114.2333,30.522134,114.267303,30.547232
LDP61**********,2,1.61723E+12,1.61723E+12,114.339468,30.585426,114.339468,30.585426
LGJE1**********,2,1.61723E+12,1.61725E+12,114.299492,30.500544,114.208751,30.768035
LB378**********,2,1.61725E+12,1.61726E+12,114.307696,30.570946,114.27464,30.646464
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
